41268,,,ALT,,LAT DIST,LONG DIST,DIST
45342,13.1456247526,3.8,57,,100.1911999999,169.8334470091,197.1843712884
45357,14.4282489198,3.5333333333,53,,127.9912,174.5207302102,216.4237337968
45372,15.9205290504,3.8,57,,150.6759999996,185.2726995659,238.8079357566
45387,14.7521289834,3.8666666667,58,,111.4224000008,191.1824872345,221.2819347509
45402,14.9339849082,3.2666666667,49,,150.0087999997,166.3662784379,224.009773623
45417,14.2610726455,2.6,39,,141.1128000001,160.7708652129,213.9160896828
45432,15.2655493159,3.4,51,,137.9992,182.7280626521,228.9832397387
45447,16.0113260521,4.1333333333,62,,154.7903999995,183.6341703124,240.1698907822
45462,14.6573862991,4.2,63,,124.9888000005,180.8772203095,219.860794487
45477,12.8530707657,4.2666666667,64,,121.4304,149.7497221363,192.7960614848
45492,12.6950387132,4.1333333333,62,,72.5023999995,176.0832296914,190.4255806981
45507,12.3828396582,4,60,,62.3832000005,174.9532734981,185.7425948726
45522,12.2923817828,4.2,63,,82.3991999998,164.9498956217,184.3857267421
45537,13.8952629414,3.5333333333,53,,109.1984000001,177.5340366939,208.428944121
45552,14.4028925789,4.7333333333,71,,112.2008000004,184.6232007984,216.0433886833
45567,14.7922912528,4.6,69,,125.6559999996,182.8749375348,221.884368792
45582,13.5768191558,4.8666666667,73,,109.7544000002,171.5465704067,203.6522873373
45597,14.9962253634,4.1333333333,62,,137.9992,177.6393684074,224.9433804512
45612,13.1273803853,4.6666666667,70,,120.8743999998,155.4451847931,196.9107057798
45627,12.0601674081,4.7333333333,71,,86.9584000001,158.6315075875,180.9025111215
45642,12.1156770911,4.5333333333,68,,78.8408000001,163.743077151,181.7351563664
45657,10.2366390548,4.6,69,,53.8208,143.8081944591,153.5495858224
45672,10.6366630786,4.6666666667,70,,78.2847999999,139.0240102095,159.5499461791
45687,10.7598906206,4.2,63,,51.9304,152.8157843403,161.3983593092
45702,10.6427249639,3.2666666667,49,,61.0487999999,147.5067890516,159.6408744581
45717,10.9537284238,3.0666666667,46,,43.2567999998,158.5095791734,164.3059263568
45732,11.2347833467,3.4666666667,52,,51.9304,160.3209713243,168.5217502002
45747,10.7652368278,3.7333333333,56,,49.1504,153.8166475727,161.4785524169
45762,11.162186742,3.3333333333,50,,46.9264,160.7222942753,167.4328011295
45777,12.2465816475,3.1333333333,47,,63.6063999998,172.3352759598,183.6987247127
45792,11.2762870615,3.2666666667,49,,62.0496000006,157.3519728692,169.1443059227
45807,11.3259887485,3.1333333333,47,,58.9359999997,159.3395828367,169.8898312276
