time,ground_speed,alt_speed
170701-10:17:40,0.0206263788356,0.0151617283951
170701-10:19:40,0.0213121960307,-0.13462
170701-10:21:56,0.0215254164932,0.280147058824
170701-10:23:57,0.0218198336026,-0.264495867769
170701-10:25:58,0.0221333183234,0.00755702479339
170701-10:27:59,0.0216403394888,0.0
170701-10:34:16,0.0215278052896,0.0161697612732
170701-10:36:17,0.0218095107217,0.105798347107
170701-10:42:31,0.0230844360898,-0.0317839572192
170701-10:44:32,0.0229682654443,-0.0403041322314
170701-10:46:33,0.0222964549928,-0.0831272727273
170701-10:48:34,0.0217197877162,0.199001652893
170701-10:50:00,0.0298500394517,-0.312037209302
170701-10:50:35,1.46912940644e-06,0.418377142857
170701-10:52:36,0.021223521763,-0.00755702479339
170701-10:54:37,0.0210186272447,0.0579371900826
170701-10:59:18,0.0212668245779,-0.010846975089
170701-11:01:19,0.0212755176302,0.0755702479339
170701-11:03:20,0.0211118293201,-0.115874380165
170701-11:05:21,0.0208849458097,0.206558677686
170701-11:09:59,0.0209963646345,-0.094290647482
170701-11:12:00,0.0206374298772,0.148621487603
170701-11:14:02,0.0209669677037,-0.137409836066
170701-11:16:02,0.0216197291447,0.00762
170701-11:17:00,0.0444266712842,-0.236703448276
170701-11:18:03,7.67307292947e-07,0.517879365079
170701-11:22:43,0.0214154550522,0.0359228571429
170701-11:24:55,0.0218996044242,-0.120072727273
170701-11:32:36,0.0213924078012,-0.00462819956616
170701-11:34:37,0.0214029819986,-0.0579371900826
170701-11:36:38,0.0211201990467,0.199001652893
170701-11:41:18,0.0207393901207,-0.0751114285714
170701-11:43:19,0.0201511503614,0.148621487603
170701-11:45:21,0.0201198407291,-0.139908196721
170701-11:49:59,0.0201836445536,0.0394705035971
170701-11:52:00,0.0202715441513,0.0176330578512
170701-11:54:01,0.0207363202824,-0.0428231404959
170701-11:58:43,0.0205681448947,-0.00972765957446
170701-12:00:44,0.0206463174554,0.0
170701-12:02:45,0.0205078405326,0.0806082644628
170701-12:04:46,0.0204766819992,0.0755702479339
170701-12:06:00,0.0342804148221,-0.280172972973
170701-12:06:47,4.76844816651e-07,0.0585021276596
170701-12:08:48,0.0212009259029,-0.0503801652893
170701-12:11:01,0.0211242342233,0.0389593984962
170701-12:13:02,0.0209694827571,0.032747107438
170701-12:15:03,0.0209524424119,0.173811570248
170701-12:17:04,0.0208221863785,-0.0755702479339
170701-12:19:05,0.0206589891109,0.108317355372
170701-12:21:06,0.02065669975,-0.173811570248
170701-12:25:45,0.0204833403366,-0.0360516129032
170701-12:27:46,0.0199233619831,0.108317355372
170701-12:29:47,0.0198107674158,0.032747107438
170701-12:31:48,0.0199296813802,-0.0831272727273
170701-12:38:04,0.0203976127947,0.0291829787234
170701-12:40:05,0.0207971413518,-0.0251900826446
170701-12:44:45,0.0206600034526,0.0217714285714
170701-12:46:46,0.0209344263165,0.0
170701-12:48:47,0.0209019045295,0.0906842975207
170701-12:50:48,0.0214797192918,-0.231748760331
170701-12:52:00,0.0356873743508,-0.0508888888889
170701-12:52:49,5.79117518359e-07,0.155640816327
170701-12:57:30,0.0212382261939,0.0498960854093
170701-12:59:32,0.0211360870766,0.0
170701-13:01:33,0.0215153808962,-0.214115702479
170701-13:13:31,0.0212715441239,0.0500924791086
170701-13:15:32,0.0210724923042,-0.322433057851
170701-13:20:12,0.0205291757215,0.131717142857
170701-13:22:12,0.0212672531289,0.05842
170701-13:28:33,0.0210740329931,-0.0184
170701-13:30:34,0.0211641669984,0.14106446281
170701-13:35:14,0.0213593509261,-0.0642257142857
170701-13:37:15,0.0212306001727,0.0579371900827
170701-13:39:17,0.0207924220238,0.0174885245902
170701-13:41:17,0.0212015765304,-0.05842
170701-13:42:00,0.0593532116578,-0.111423255814
170701-13:43:18,5.87476210053e-07,0.225548717949
170701-13:45:19,0.0211384852143,0.14106446281
170701-13:50:01,0.0211508469895,-0.105923404255
170701-13:52:02,0.0209591735826,0.105798347107
170701-13:58:21,0.0208534208806,0.0426237467018
170701-14:00:22,0.0209465188038,0.0075570247934
170701-14:07:10,0.0208184023196,-0.0418352941176
170701-14:09:12,0.0206407286254,0.0424721311475
170701-14:11:12,0.021252175816,0.18288
170701-14:17:34,0.0205537575015,0.0207455497382
170701-14:19:35,0.020518073294,-0.130988429752
170701-14:21:36,0.020655936071,0.123431404959
170701-14:23:37,0.0206504194122,-0.032747107438
170701-14:28:17,0.020708511672,0.05334
170701-14:30:19,0.0202717640964,-0.147403278689
170701-14:32:19,0.0209115008169,0.04064
170701-14:34:20,0.0207611880717,0.0831272727273
170701-14:35:00,0.063330707061,-0.19138
170701-14:36:21,4.4098194996e-07,0.0832197530864
170701-14:41:03,0.0213525479985,-0.113489361702
170701-14:43:03,0.0216401491335,0.2921
170701-14:47:40,0.0219038917021,-0.0143046931408
170701-14:49:42,0.0216700782671,0.047468852459
170701-14:51:42,0.0223812976583,-0.04826
170701-14:53:43,0.0224281652551,-0.380370247934
170701-14:55:00,0.0359106014172,0.184394805195
170701-14:55:44,1.01261977387e-06,-0.620563636364
170701-14:57:57,0.0226319284294,0.240631578947
170701-14:59:57,0.0228851251663,-0.10922
170701-15:06:13,0.0231120392119,0.0372893617021
170701-15:10:02,0.0233748466597,0.0266200873362
170701-15:12:03,0.0229718082724,0.246862809917
170701-15:14:04,0.0228836951161,0.0100760330579
170701-15:18:46,0.0227602179982,-0.0464765957447
